Mental Illness,Year,Percentage
Anxiety Disorders,1990,5.8
Depressive disorders,1990,4.6
Eating disorders,1990,1.1
Bipolar Disorder,1990,0.8
Schizophrenia,1990,0.4
Anxiety Disorders,1991,5.6
Depressive disorders,1991,4.6
Eating disorders,1991,1.1
Bipolar Disorder,1991,0.8
Schizophrenia,1991,0.4
Anxiety Disorders,1992,5.6
Depressive disorders,1992,4.6
Eating disorders,1992,1.1
Bipolar Disorder,1992,0.8
Schizophrenia,1992,0.4
Anxiety Disorders,1993,5.5
Depressive disorders,1993,4.6
Eating disorders,1993,1.1
Bipolar Disorder,1993,0.8
Schizophrenia,1993,0.4
Anxiety Disorders,1994,5.4
Depressive disorders,1994,4.6
Eating disorders,1994,1.1
Bipolar Disorder,1994,0.8
Schizophrenia,1994,0.4
Anxiety Disorders,1995,5.3
Depressive disorders,1995,4.7
Eating disorders,1995,1.1
Bipolar Disorder,1995,0.8
Schizophrenia,1995,0.4
Anxiety Disorders,1996,5.3
Depressive disorders,1996,4.7
Eating disorders,1996,1.1
Bipolar Disorder,1996,0.8
Schizophrenia,1996,0.4
Anxiety Disorders,1997,5.2
Depressive disorders,1997,4.7
Eating disorders,1997,1.1
Bipolar Disorder,1997,0.8
Schizophrenia,1997,0.4
Anxiety Disorders,1998,5.2
Depressive disorders,1998,4.7
Eating disorders,1998,1.1
Bipolar Disorder,1998,0.8
Schizophrenia,1998,0.4
Anxiety Disorders,1999,5.1
Depressive disorders,1999,4.7
Eating disorders,1999,1.1
Bipolar Disorder,1999,0.8
Schizophrenia,1999,0.4
Anxiety Disorders,2000,5.1
Depressive disorders,2000,4.7
Eating disorders,2000,1.1
Bipolar Disorder,2000,0.8
Schizophrenia,2000,0.4
Anxiety Disorders,2001,5.2
Depressive disorders,2001,4.7
Eating disorders,2001,1.1
Bipolar Disorder,2001,0.8
Schizophrenia,2001,0.4
Anxiety Disorders,2002,5.3
Depressive disorders,2002,4.8
Eating disorders,2002,1.1
Bipolar Disorder,2002,0.9
Schizophrenia,2002,0.4
Anxiety Disorders,2003,5.4
Depressive disorders,2003,4.9
Eating disorders,2003,1.1
Bipolar Disorder,2003,0.9
Schizophrenia,2003,0.4
Anxiety Disorders,2004,5.2
Depressive disorders,2004,4.7
Eating disorders,2004,1.1
Bipolar Disorder,2004,0.9
Schizophrenia,2004,0.4
Anxiety Disorders,2005,5.5
Depressive disorders,2005,5
Eating disorders,2005,1.1
Bipolar Disorder,2005,1
Schizophrenia,2005,0.4
Anxiety Disorders,2006,5.5
Depressive disorders,2006,5
Eating disorders,2006,1.1
Bipolar Disorder,2006,1
Schizophrenia,2006,0.4
Anxiety Disorders,2007,5.6
Depressive disorders,2007,5
Eating disorders,2007,1.1
Bipolar Disorder,2007,1
Schizophrenia,2007,0.4
Anxiety Disorders,2008,5.6
Depressive disorders,2008,4.9
Eating disorders,2008,1.1
Bipolar Disorder,2008,1
Schizophrenia,2008,0.4
Anxiety Disorders,2009,5.6
Depressive disorders,2009,4.9
Eating disorders,2009,1.1
Bipolar Disorder,2009,1
Schizophrenia,2009,0.4
Anxiety Disorders,2010,5.6
Depressive disorders,2010,4.9
Eating disorders,2010,1.1
Bipolar Disorder,2010,1
Schizophrenia,2010,0.4
Anxiety Disorders,2011,5.6
Depressive disorders,2011,4.8
Eating disorders,2011,1.1
Bipolar Disorder,2011,1
Schizophrenia,2011,0.4
Anxiety Disorders,2012,5.6
Depressive disorders,2012,4.8
Eating disorders,2012,1.1
Bipolar Disorder,2012,1
Schizophrenia,2012,0.4
Anxiety Disorders,2013,5.5
Depressive disorders,2013,4.8
Eating disorders,2013,1.1
Bipolar Disorder,2013,1
Schizophrenia,2013,0.4
Anxiety Disorders,2014,5.5
Depressive disorders,2014,4.7
Eating disorders,2014,1.1
Bipolar Disorder,2014,1
Schizophrenia,2014,0.4
Anxiety Disorders,2015,5.5
Depressive disorders,2015,4.7
Eating disorders,2015,1.1
Bipolar Disorder,2015,1
Schizophrenia,2015,0.4
Anxiety Disorders,2016,5.5
Depressive disorders,2016,4.7
Eating disorders,2016,1.1
Bipolar Disorder,2016,1
Schizophrenia,2016,0.4
Anxiety Disorders,2017,5.6
Depressive disorders,2017,4.6
Eating disorders,2017,1.1
Bipolar Disorder,2017,1
Schizophrenia,2017,0.4
Anxiety Disorders,2018,5.7
Depressive disorders,2018,4.6
Eating disorders,2018,1.1
Bipolar Disorder,2018,1
Schizophrenia,2018,0.4
Anxiety Disorders,2019,5.8
Depressive disorders,2019,4.5
Eating disorders,2019,1.1
Bipolar Disorder,2019,1
Schizophrenia,2019,0.4
Anxiety Disorders,2020,6.2
Depressive disorders,2020,4.9
Eating disorders,2020,1.1
Bipolar Disorder,2020,1
Schizophrenia,2020,0.4
Anxiety Disorders,2021,6.2
Depressive disorders,2021,4.9
Eating disorders,2021,1.1
Bipolar Disorder,2021,1.1
Schizophrenia,2021,0.4
